graph,num_nodes,num_edges,avg_degree,density,clustering_coeff,num_components,diameter,radius,avg_shortest_path_length,avg_degree_centrality,max_degree_centrality,avg_betweenness_centrality,max_betweenness_centrality,avg_closeness_centrality,max_closeness_centrality
historic_1995,5509,6432,2.3350880377563987,0.00042394481440747976,0.46228575381779236,1658,,,,0.00042394481440747976,0.007625272331154684,7.926533468869835e-07,0.00023539064759329876,0.0006160597768274035,0.006120367222033322
historic_1995_no_self_loops,5509,5958,2.163005990197858,0.0003927026125994659,0.46228575381779236,1658,,,,0.0003927026125994659,0.007262164124909223,7.926533468869835e-07,0.00023539064759329876,0.0006160597768274035,0.006120367222033322
historic_2000,6562,8898,2.711978055470893,0.0004133482785354204,0.5180958911148309,1535,,,,0.00041334827853542033,0.006249047401310776,6.022913398899307e-05,0.024070667208610987,0.003341326238198997,0.02593953315204398
historic_2000_no_self_loops,6562,8376,2.552880219445291,0.00038909925612639706,0.5180958911148309,1535,,,,0.00038909925612639706,0.006249047401310776,6.022913398899307e-05,0.024070667208610987,0.003341326238198997,0.02593953315204398
historic_1997,5565,6940,2.4941599281221922,0.0004482674205827089,0.4761735571007808,1513,,,,0.00044826742058270893,0.004852624011502517,1.460706950124539e-06,0.0003040139010275476,0.0007745705480911774,0.007169659608683999
historic_1997_no_self_loops,5565,6491,2.332794249775382,0.00041926568112425985,0.4761735571007808,1513,,,,0.00041926568112425985,0.004493170381020849,1.460706950124539e-06,0.0003040139010275476,0.0007745705480911774,0.007169659608683999
historic_1999,5923,7663,2.5875400979233496,0.00043693686219576993,0.5143959602560669,1522,,,,0.00043693686219577,0.003208375548801081,4.144805206591093e-06,0.0010586307466866028,0.0009615467247539977,0.009980557543586163
historic_1999_no_self_loops,5923,7205,2.43288873881479,0.00041082214434562473,0.5143959602560669,1522,,,,0.0004108221443456248,0.00287065180682202,4.144805206591093e-06,0.0010586307466866028,0.0009615467247539977,0.009980557543586163
historic_1998,5776,7252,2.511080332409972,0.000434819105179216,0.4849724701388857,1562,,,,0.000434819105179216,0.0058874458874458874,1.0157328593109583e-05,0.0024431358965477427,0.0009793816986220477,0.00896861689618229
historic_1998_no_self_loops,5776,6824,2.3628808864265927,0.00040915686345049224,0.4849724701388857,1562,,,,0.00040915686345049224,0.005541125541125541,1.0157328593109583e-05,0.0024431358965477427,0.0009793816986220477,0.00896861689618229
historic_1996,5165,6129,2.3732817037754113,0.00045958204953048246,0.4615387738507151,1526,,,,0.0004595820495304825,0.006390395042602634,1.2998387926710038e-06,0.0004909658532311404,0.0006810257873121603,0.005806326678493791
historic_1996_no_self_loops,5165,5708,2.2102613746369797,0.0004280134342829163,0.4615387738507151,1526,,,,0.0004280134342829163,0.006390395042602634,1.2998387926710038e-06,0.0004909658532311404,0.0006810257873121603,0.005806326678493791
modern_full,24347,58767,4.827453074300736,0.00019828526551797976,0.5424596906394514,1610,,,,0.00019828526551797978,0.010186478271584655,0.00013216023359115644,0.0409532204884774,0.11447995754777023,0.21323138638705694
historic_full,20761,37712,3.6329656567602715,0.00017499834570136184,0.4737677989734058,2521,,,,0.00017499834570136184,0.008140655105973026,0.0001451393249425021,0.063775659816656,0.05642806809633682,0.13217933263066392
modern_full_no_self_loops,24347,55996,4.599827494147123,0.0001889356565409974,0.5424596906394514,1610,,,,0.0001889356565409974,0.010104329253265425,0.00013216023359115644,0.0409532204884774,0.11447995754777023,0.21323138638705694
historic_full_no_self_loops,20761,35568,3.4264245460237945,0.00016504935192792846,0.4737677989734058,2521,,,,0.00016504935192792846,0.008044315992292871,0.0001451393249425021,0.063775659816656,0.05642806809633682,0.13217933263066392
