node,centrality,label,period,log_centrality
6250003001,0.0037405685804608444,6250003001,Historic,-5.58851765224942
0027854000,0.09674632745335243,New York University,Historic,-2.3356629069311885
0036327000,0.10352396391279796,Texas A&M University,Historic,-2.2679521576875428
4002127000,0.03806703373483679,Carnegie Institution of Washington,Historic,-3.2684066277032837
0080010000,0.09717677344264362,University of Illinois at Chicago,Historic,-2.331223552421765
0036046000,0.06987840292132501,William Marsh Rice University,Historic,-2.6609986485663892
0021154000,0.015200037365701895,Amherst College,Historic,-4.186457392863066
4003803000,0.00462224126830355,Law and Society Association,Historic,-5.376875568513187
0031849000,0.04591023456884173,University of Oklahoma Norman Campus,Historic,-3.0810672114149185
0010512000,0.03783362751122125,University of Alabama Tuscaloosa,Historic,-3.274556955132026
0013284000,0.09791975757332666,University of Southern California,Historic,-2.323606935983781
0015362000,0.028421473229471243,University of Miami,Historic,-3.56061031988503
0013508000,0.05881246226093974,Colorado State University,Historic,-2.8334015033210846
0029728000,0.10186014904518055,North Carolina State University,Historic,-2.2841544942911263
0020545000,0.0017144705288600903,University of Southern Maine,Historic,-6.36865097555865
0081554000,0.007674378445127619,Evergreen State College,Historic,-4.869867973136478
4005518000,0.024021094475315488,National Academy of Sciences,Historic,-3.7288228982011877
0001172000,0.010489343983417783,Research Foundation Of The City University Of New York (Lehman),Historic,-4.557395395858568
0031278000,0.005644989439557641,University of Dayton,Historic,-5.176986952142644
0028951000,0.003784098415719569,Vassar College,Historic,-5.576947619748167
4004027000,0.01185217304171231,The Scripps Research Institute,Historic,-4.435244049165427
0018127000,0.0026727998332271327,Indiana University-Purdue University at Fort Wayne,Historic,-5.924628729318043
0011510000,0.039123706183672384,San Diego State University,Historic,-3.2410266994565307
5300016475,0.0026243494857418103,5300016475,Historic,-5.9429222286052505
6250028376,0.0036287564691278446,6250028376,Historic,-5.618865259884249
0027078040,0.027808248397669842,Columbia University Lamont Doherty Earth Observatory,Historic,-3.5824225973416026
5300010290,0.0021781992774317243,William Davidson Institute,Historic,-6.129256763049984
0013714000,0.014915496407930903,University of Denver,Historic,-4.205354579106592
0038968000,0.02320566879915378,University of Wisconsin-Milwaukee,Historic,-3.763358685366088
0025031000,0.005711990014019747,Missouri State University,Historic,-5.165187802192224
0032896000,0.04680033966216965,Lehigh University,Historic,-3.0618648183462054
0022210000,0.08670045819629617,University of Massachusetts Amherst,Historic,-2.445296110361899
0011551000,0.007727158411787624,San Jose State University,Historic,-4.8630140891682805
0011551001,0.007536509622394018,San Jose State University Foundation,Historic,-4.887996118942262
0014795000,0.012617934548234006,Embry-Riddle Aeronautical University,Historic,-4.372636100221326
0016923000,0.008010036032112818,Board of Trustees of Illinois State University,Historic,-4.827060019520873
0037804000,0.0002340089725160483,Green River Community College,Historic,-8.360151099256012
0015206000,0.0027452961644315356,Seminole State College of Florida,Historic,-5.897866317515816
0040519000,6.085767649867636e-05,0040519000,Historic,-9.70697259203107
4306198000,0.000905768724878365,Anchorage School District,Historic,-7.006726555062049
4070546000,0.0012134329304856863,4070546000,Historic,-6.714301803805307
0014316000,0.10294953294783146,University of Delaware,Historic,-2.273516382207979
0037549000,0.10398838243384438,Virginia Polytechnic Institute and State University,Historic,-2.263476093447378
0010827000,0.020605401300634152,Northern Arizona University,Historic,-3.8822020384948575
0011460000,0.0013410166930551714,California State University-Chico,Historic,-6.614327226545926
0026880000,0.022688315161487376,CUNY City College,Historic,-3.785905237619619
0058891000,0.0016908429224997334,University of Oklahoma Health Sciences Center,Historic,-6.382528103682019
0013177010,0.04863733534239468,University of California-San Diego Scripps Inst of Oceanography,Historic,-3.0233638260815714
4025938000,0.062130111335891594,National Bureau of Economic Research Inc,Historic,-2.7785245229253364
0013052000,0.1052386713870504,Stanford University,Historic,-2.2515244474901692
4101358000,0.00637056723080711,Forest Service Pacific NW Forest & Range Experiment Station,Historic,-5.056066766140067
5300005577,0.0022572706326386633,5300005577,Historic,-6.093598880209904
0018077000,0.0065788967706544195,Indiana State University,Historic,-5.023888211736379
0025312000,3.924456375964698e-05,Montana Technological University,Historic,-10.145697626267205
0025379000,0.0019210470099464145,The University of Montana-Western,Historic,-6.254884923893677
0010637000,0.04435032974807082,University of Alaska Fairbanks Campus,Historic,-3.1156351351229414
5300012607,0.001964459391241958,Ilisagvik College,Historic,-6.232538190473912
0001347000,0.014380947027568064,Virginia Commonwealth University,Historic,-4.241851071585961
0018689000,0.009094314701692698,Grinnell College,Historic,-4.700105818757718
0038356000,0.007440159517462328,Beloit College,Historic,-4.900862989847851
0026906000,0.011767183586470102,CUNY Queens College,Historic,-4.4424406738144455
0020321000,0.004668182103784116,Xavier University of Louisiana,Historic,-5.366985554225313
4077681000,0.0017888404521883522,Louisiana Board of Regents,Historic,-6.326187661110961
0026989000,0.002996164623968012,CUNY College of Staten Island,Historic,-5.810422266916849
0034660000,0.0012953506490922904,Northern State University,Historic,-6.648973848982784
0038026000,0.015350259489992343,Western Washington University,Historic,-4.176622900206322
0025171000,0.01918967535814262,Missouri University of Science and Technology,Historic,-3.9533828863467617
0010579000,0.006594568474128704,University of South Alabama,Historic,-5.021508927231324
6250020951,0.00038249532641334037,6250020951,Historic,-7.868794123299545
0020313000,0.005837328687208726,University of Louisiana at Lafayette,Historic,-5.143482003362723
0015982000,0.06007878823700431,University of Georgia,Historic,-2.8120984408873757
0023291000,0.02199230376780109,Wayne State University,Historic,-3.817062715564482
0013136000,0.12221313700505222,University of California-Davis,Historic,-2.1019887338898005
6250007895,0.0022507507254002565,6250007895,Historic,-6.096491462683057
4076121000,0.00791225715920888,4076121000,Historic,-4.839342182762103
0035352000,0.07164845677717298,Vanderbilt University,Historic,-2.635983663290601
5300017254,0.0029980291528431432,5300017254,Historic,-5.809800155251898
0025684000,0.031940466057584174,"Board of Regents, NSHE, obo University of Nevada, Reno",Historic,-3.443881544642862
0038273001,0.012975521624606034,West Virginia University Research Corporation,Historic,-4.344690648456499
0033282000,0.0029296390573171154,West Chester University of Pennsylvania,Historic,-5.832876052170474
